
1701941908457 :: history :: {'symbol': 'NSE:OFSS-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941908653 :: {'s': 'error', 'code': -300, 'message': ''}

1701941909162 :: history :: {'symbol': 'NSE:PAGEIND-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941909359 :: {'s': 'error', 'code': -300, 'message': ''}

1701941909875 :: history :: {'symbol': 'NSE:PERSISTENT-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941910059 :: {'s': 'error', 'code': -300, 'message': ''}

1701941910574 :: history :: {'symbol': 'NSE:PIIND-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941910764 :: {'s': 'error', 'code': -300, 'message': ''}

1701941911274 :: history :: {'symbol': 'NSE:L&TFH-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941911479 :: {'s': 'error', 'code': -300, 'message': ''}

1701941912007 :: history :: {'symbol': 'NSE:LALPATHLAB-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941912217 :: {'s': 'error', 'code': -300, 'message': ''}

1701941912734 :: history :: {'symbol': 'NSE:LAURUSLABS-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941912935 :: {'s': 'error', 'code': -300, 'message': ''}

1701941913462 :: history :: {'symbol': 'NSE:LTIM-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941913715 :: {'s': 'error', 'code': -300, 'message': ''}

1701941914258 :: history :: {'symbol': 'NSE:LTTS-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941914488 :: {'s': 'error', 'code': -300, 'message': ''}

1701941915014 :: history :: {'symbol': 'NSE:AUROPHARMA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941915215 :: {'s': 'error', 'code': -300, 'message': ''}

1701941915728 :: history :: {'symbol': 'NSE:LUPIN-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941915951 :: {'s': 'error', 'code': -300, 'message': ''}

1701941916474 :: history :: {'symbol': 'NSE:M&M-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941916671 :: {'s': 'error', 'code': -300, 'message': ''}

1701941917185 :: history :: {'symbol': 'NSE:M&MFIN-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941917385 :: {'s': 'error', 'code': -300, 'message': ''}

1701941917918 :: history :: {'symbol': 'NSE:METROPOLIS-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941918159 :: {'s': 'error', 'code': -300, 'message': ''}

1701941918681 :: history :: {'symbol': 'NSE:BAJAJFINSV-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941918887 :: {'s': 'error', 'code': -300, 'message': ''}

1701941919418 :: history :: {'symbol': 'NSE:CIPLA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941919623 :: {'s': 'error', 'code': -300, 'message': ''}

1701941920160 :: history :: {'symbol': 'NSE:MRF-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941920372 :: {'s': 'error', 'code': -300, 'message': ''}

1701941920906 :: history :: {'symbol': 'NSE:EXIDEIND-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941921115 :: {'s': 'error', 'code': -300, 'message': ''}

1701941921636 :: history :: {'symbol': 'NSE:MUTHOOTFIN-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941921897 :: {'s': 'error', 'code': -300, 'message': ''}

1701941922421 :: history :: {'symbol': 'NSE:TCS-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941922639 :: {'s': 'error', 'code': -300, 'message': ''}

1701941923183 :: history :: {'symbol': 'NSE:TECHM-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941923491 :: {'s': 'error', 'code': -300, 'message': ''}

1701941924014 :: history :: {'symbol': 'NSE:TRENT-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941924223 :: {'s': 'error', 'code': -300, 'message': ''}

1701941924762 :: history :: {'symbol': 'NSE:TVSMOTOR-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941924970 :: {'s': 'error', 'code': -300, 'message': ''}

1701941925508 :: history :: {'symbol': 'NSE:BIOCON-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941925758 :: {'s': 'error', 'code': -300, 'message': ''}

